id,name, party, sector, country
uvdl, Ursula von der Leyen, CDU, Politik, Deutschland
lk, Lars KLingbeil, SPD, Politik, Deutschland
nr, Norbert Röttgen, CDU, Politik, Deutschland
sw, Sahra Wagenknecht, Linke, Politik, Deutschland
cs, Constanze Stelzenmüller, none, Jura, Deutschland
cl, Christian Lindner, FDP, Politik, Deutschland
ksch, Karl Schlögel, none, Geschichte, Deutschland
lm, Ljudmyla Melnyk, none, Wissenschaft, Ukraine
kd, Kristina Dunz, none, TV, Deutschland
el, Egils Levits, independent, Politik, Lettland
ab, Annalena Baerbock, Gruene, Politik, Deutschland
ft, Frans Timmermans, SPE, Politik, Niederlande
am , Andrij Melnyk, none, Botschaft, Ukraine
agf, Alexander Graf Lambsdorff, FDP, Politik, Deutschland
er, Egon Ramms, none, Militär, Deutschland
rh, Robert Habeck, Gruene, Politik, Deutschland
cm, Claudia Major, none, Politikwissenschaft, Deutschland
kp, Katja Petrowskaja, none, Journalismus, Deutschland
rk, Roderich Kiesewetter, CDU, Politik, Deutschland
